KOERU GRAMMAR PATTERNS — Complete Extract from All 5 DOCX Files
Format: LEVEL | Pattern | Vietnamese Meaning
============================================================================================================

【N5】 Total: 90 patterns
============================================================================================================
N5 | ます形 | Thể lịch sự
N5 | ない形 | Thể phủ định thông thường
N5 | て形 | Thể て
N5 | た形 | Thể た
N5 | 普通形 | Thể thông thường
N5 | ます | Gốc ます
N5 | A は B です | Câu khẳng định danh từ
N5 | A は B ではありません | Câu phủ định danh từ
N5 | A は B ですか | Câu hỏi Yes/No
N5 | これ / それ / あれ | Chỉ từ (vật)
N5 | この / その / あの + N | Chỉ từ + danh từ
N5 | ここ / そこ / あそこ | Đại từ chỉ địa điểm
N5 | N は どこ ですか | Hỏi vị trí
N5 | N は いくら ですか | Hỏi giá tiền
N5 | いま なんじ ですか | Hỏi giờ
N5 | なんようび | Cách nói thứ trong tuần
N5 | Động từ thể ます | 4 dạng chia
N5 | N に V ます | Làm gì lúc mấy giờ
N5 | ～から ～まで | Từ ... đến ...
N5 | (Địa điểm) へ/に いきます | Đi đâu
N5 | どこ(へ)も いきません | Không đi đâu cả
N5 | (Phương tiện) で V | Di chuyển bằng phương tiện
N5 | N と V ます | Làm cùng ai
N5 | N を V ます | Tân ngữ
N5 | なにも + phủ định | Không làm gì cả
N5 | (Địa điểm) で V ます | Làm gì ở đâu
N5 | V ませんか / V ましょう | Rủ rê
N5 | (Công cụ/Ngôn ngữ) で V | Làm bằng công cụ
N5 | ～は ～ごで なんですか | Trong tiếng... là gì?
N5 | N に/から もらいます | Nhận từ ai
N5 | N が くれます | Ai đó cho/tặng tôi
N5 | もう V ました | Đã làm rồi
N5 | そして / が | Nối câu
N5 | どう / どんな / どれ | Hỏi tính chất / lựa chọn
N5 | から | Vì... nên...
N5 | (Địa điểm) に N が います/あります | Có ai/cái gì ở đâu
N5 | や～や～など | Liệt kê tiêu biểu
N5 | どのくらい | Bao lâu
N5 | (Thời gian) に ～かい | Tần suất
N5 | だけ | Chỉ
N5 | N1 より N2 のほうが | So sánh hơn
N5 | N1 と N2 と どちらが | So sánh lựa chọn
N5 | N の中で いちばん | So sánh nhất
N5 | N が ほしいです | Muốn có
N5 | V たいです | Muốn làm
N5 | (Địa điểm) へ V に いきます | Đi để làm gì
N5 | Thể て (て形) | Cách chia
N5 | Vて ください | Hãy làm V
N5 | Vて います | Đang làm V
N5 | V ましょうか | Đề nghị giúp
N5 | Vて もいいです | Xin phép
N5 | Vては いけません | Cấm
N5 | Vて、Vて、V | Liệt kê hành động theo thứ tự
N5 | Vて から | Sau khi V
N5 | N1 は N2 が adj | Miêu tả đặc điểm
N5 | どうやって | Làm như thế nào
N5 | Thể ない | Phủ định ngắn
N5 | Vないで ください | Xin đừng
N5 | Vなければ なりません | Phải làm V
N5 | Vなくても いいです | Không cần làm V
N5 | N までに V | Trước thời hạn
N5 | V ことができます | Có thể
N5 | しゅみ は ～ です | Sở thích
N5 | V まえに | Trước khi V
N5 | なかなか + phủ định | Mãi mà không
N5 | ぜひ | Nhất định / Rất muốn
N5 | ～と おもいます | Tôi nghĩ là...
N5 | ～と いいます | Nói rằng
N5 | ～でしょう | Xác nhận / ～ nhỉ?
